City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,poum,-20.2333,164.0167,298.94,78,100,10.95,NC,1682318023
300,channel-port aux basques,47.5702,-59.1367,276.76,87,4,2.82,CA,1682318023
301,potiskum,11.7091,11.0694,302.41,47,100,6.33,NG,1682318023
302,murray bridge,-35.1167,139.2667,298.28,36,0,3.47,AU,1682318024
303,jiayuguan,39.8167,98.3,288.28,18,89,10.68,CN,1682317730
304,noumea,-22.2763,166.4572,300.37,99,51,3.66,NC,1682317803
305,natal,-5.795,-35.2094,297.51,88,20,3.09,BR,1682318025
306,caucaia,-3.7361,-38.6531,299.12,79,20,2.06,BR,1682318025
307,atbasar,51.8,68.3333,287.9,45,12,7.26,KZ,1682318025
308,katsuura,35.1333,140.3,285.76,59,100,5.03,JP,1682317750
309,rawson,-43.3002,-65.1023,289.38,51,29,4.3,AR,1682318026
310,belogorsk,50.9158,128.4611,283.11,16,49,5.95,RU,1682318026
311,koppal,15.35,76.15,306.97,21,5,1.99,IN,1682318026
312,hovd,48.0056,91.6419,282.21,23,98,3.19,MN,1682318026
313,zaranj,30.9667,61.8833,306.13,9,100,3.05,AF,1682318026
314,dwarka,22.2394,68.9678,303.11,54,100,4.07,IN,1682318027
315,parana,-31.732,-60.5238,291.23,87,100,1.77,AR,1682317798
316,bobo dioulasso,11.1771,-4.2979,300.4,65,0,5.14,BF,1682318027
317,pacific grove,36.6177,-121.9166,284.97,88,100,3.6,US,1682318027
318,raudeberg,61.9875,5.1352,276.52,66,100,15.87,NO,1682318028
319,baykit,61.67,96.37,276.42,99,100,2.45,RU,1682318028
320,polunochnoye,60.8697,60.4153,276.17,38,100,3.96,RU,1682318028
321,trelew,-43.249,-65.3051,289.19,46,21,4.09,AR,1682318028
322,aras,42.5617,-2.356,283.55,94,75,0.51,ES,1682318029
323,clyde river,70.4692,-68.5914,262.28,85,100,1.03,CA,1682317984
324,keti bandar,24.1447,67.4497,304.43,47,100,4.69,PK,1682318029
325,kandrian,-6.2167,149.55,301.76,73,45,1.41,PG,1682318029
326,necochea,-38.5473,-58.7368,285.31,88,1,3.23,AR,1682318030
327,bukachacha,52.9833,116.9167,275.54,29,100,6.05,RU,1682318030
328,voyvozh,62.892,54.9635,272.45,75,100,2.82,RU,1682318030
329,cayenne,4.9333,-52.3333,296.17,100,100,0.0,GF,1682318030
330,cap malheureux,-19.9842,57.6142,301.74,73,61,3.13,MU,1682318031
331,tabuk,17.4189,121.4443,304.66,49,41,2.58,PH,1682318031
332,leh,34.1667,77.5833,275.43,25,2,0.91,IN,1682317968
333,arona,28.0996,-16.681,289.02,84,20,3.09,ES,1682318031
334,odweyne,9.4092,45.064,300.51,53,35,4.91,SO,1682318032
335,bad kreuznach,49.8333,7.8667,283.74,78,100,6.58,DE,1682318032
336,howard springs,-12.497,131.047,306.47,61,11,3.18,AU,1682318032
337,niquelandia,-14.4739,-48.4597,292.2,81,5,1.63,BR,1682318033
338,amahai,-3.3333,128.9167,302.01,75,46,2.18,ID,1682318033
339,bonthe,7.5264,-12.505,300.26,85,59,1.16,SL,1682318034
340,slave lake,55.2834,-114.769,281.14,42,100,3.09,CA,1682318035
341,dawei,14.0833,98.2,308.73,44,14,5.69,MM,1682318035
342,lompoc,34.6391,-120.4579,285.81,81,100,9.83,US,1682318036
343,vitim,59.4511,112.5578,274.61,72,100,3.41,RU,1682318036
344,begunitsy,59.5855,29.3176,288.88,50,0,5.78,RU,1682318036
345,pontianak,-0.0333,109.3333,299.14,89,40,1.54,ID,1682318037
346,egvekinot,66.3167,-179.1667,259.33,76,1,4.63,RU,1682318037
347,kloulklubed,7.0419,134.2556,302.43,72,97,2.26,PW,1682318037
348,bairnsdale,-37.8333,147.6167,293.74,70,0,1.79,AU,1682318037
349,yershov,51.3513,48.2766,289.64,45,45,4.64,RU,1682317892
350,heihe,50.2441,127.4902,284.47,15,100,5.39,CN,1682317826
351,bocas del toro,9.3333,-82.25,299.03,79,86,1.15,PA,1682318039
352,axim,4.8699,-2.2405,300.29,83,100,0.72,GH,1682318039
353,srednekolymsk,67.45,153.6833,274.55,85,100,5.4,RU,1682318039
354,guanica,17.9716,-66.908,297.58,64,86,1.79,PR,1682318040
355,palana,59.1167,159.9667,273.54,68,100,8.91,RU,1682318040
356,bequimao,-2.4489,-44.7825,296.55,94,100,0.09,BR,1682318040
357,nueva loja,0.0847,-76.8828,293.4,99,100,0.4,EC,1682318041
358,potosi,-19.5836,-65.7531,276.88,74,0,1.01,BO,1682318041
359,san juan,-31.5375,-68.5364,287.27,71,27,2.9,AR,1682318041
360,vila franca do campo,37.7167,-25.4333,289.38,95,100,6.51,PT,1682318041
361,hua hin,12.5707,99.9588,307.16,55,20,3.6,TH,1682317954
362,kalabo,-14.97,22.6814,298.74,52,100,2.61,ZM,1682318042
363,sitka,57.0531,-135.33,280.09,81,100,4.12,US,1682318042
364,vao,-22.6667,167.4833,298.51,74,10,6.93,NC,1682318042
365,alta floresta,-9.8756,-56.0861,293.69,99,98,1.48,BR,1682318043
366,pandan,14.0453,124.1694,301.33,70,32,4.75,PH,1682318043
367,kenora,49.8167,-94.4337,272.69,51,75,2.57,CA,1682318043
